#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
comix.to	-	-	0	0	0	0	0	crashed	46cdbdef
www.naukri.com	0.280702	0.312500	0	1	1	0	16		46cdbdef
www.ebay.com	0.805710	0.686258	0	19	4	0	1157		46cdbdef
fdown.net	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.ikea.com	0.935806	0.695122	0	5	22	0	656		46cdbdef
www.otomoto.pl	0.967593	0.754067	0	3	11	0	1045		46cdbdef
aternos.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bilibili.com	0.763158	0.725862	2	4	42	0	580		46cdbdef
meet.google.com	0.487434	0.133366	135	14	42	0	2017		46cdbdef
www.amazon.com.be	-	-	0	0	0	0	0	empty-202	46cdbdef
client.dkitrxmdwoqruvsi.net	-	-	0	0	0	0	0	http-404	46cdbdef
people.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
cibnext.icici.bank.in	-	-	0	0	0	0	0	http-404	46cdbdef
255md.com	1.000000	0.906977	0	0	0	0	43		46cdbdef
www.marktplaats.nl	1.000000	0.966667	0	0	0	0	810		46cdbdef
awlyaa.education.dz	1.000000	0.833333	0	0	0	0	6	shell-only-6	46cdbdef
www.repubblica.it	0.994030	0.424174	262	25	1	0	2664		46cdbdef
mobcup.fm	0.852941	1.000000	0	0	0	0	29		46cdbdef
momon-ga.com	1.000000	0.564685	0	0	0	0	572		46cdbdef
esaj.tjsp.jus.br	1.000000	0.500000	0	0	0	0	4	shell-only-4	46cdbdef
www.mobile.bg	0.997701	0.366359	0	3	11	1	434		46cdbdef
tracker.shadowfax.in	-	-	0	0	0	0	0	probe-blocked	46cdbdef
www.kicktipp.com	0.989583	0.873684	0	0	0	0	95		46cdbdef
alastonsuomi.com	-	-	0	0	0	0	0	unreachable	46cdbdef
altogel.fit	-	-	0	0	0	0	0	unreachable	46cdbdef
www.tz.de	0.952239	0.821317	3	1	4	0	1914		46cdbdef
sports.yahoo.com	-	-	0	0	0	0	0	unreachable	46cdbdef
gw.geneanet.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bolde.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
dashboard.twitch.tv	0.181818	0.500000	0	0	0	0	2	tree-divergence-58	46cdbdef
mkp.gem.gov.in	-	-	0	0	0	0	0	unreachable	46cdbdef
celeb.gate.cc	0.989648	0.765690	0	0	0	0	478		46cdbdef
www.fragrantica.com	1.000000	0.421907	0	117	0	0	2958		46cdbdef
www.blick.ch	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.hemnet.se	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
fr.bongacams.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.mobile.ir	0.999148	0.619778	15	8	0	7	1173		46cdbdef
www.alphanews.live	0.988427	0.207291	22	7	3	0	3758		46cdbdef
patrickmorin.com	0.985714	0.550725	0	0	3	0	138		46cdbdef
www.nautica.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.ordertime.com	1.000000	1.000000	0	0	0	0	29		46cdbdef
mexcbt.ed-cl.com	0.925926	0.000000	0	2	1	0	25		46cdbdef
ticket.jfa.jp	1.000000	0.688735	14	2	2	0	1012		46cdbdef
house.udn.com	1.000000	0.000000	0	0	0	0	1	shell-only-1	46cdbdef
pogoda.by	0.519608	0.735849	0	0	0	0	53		46cdbdef
d2rwkn96gppqo1.cloudfront.net	0.027933	0.000000	0	0	0	0	5	render-failed	46cdbdef
www.trivago.de	0.956738	0.110452	27	10	13	0	1349		46cdbdef
www.trivago.jp	0.956147	0.106767	27	14	13	0	1330		46cdbdef
www.monopolybingogame.com	0.535714	0.266667	0	0	0	0	15		46cdbdef
www.mundotoro.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.puentedemando.com	0.985256	0.755282	2	10	11	1	1136		46cdbdef
donate.onenation.org.au	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
forums.moneysavingexpert.com	1.000000	0.222222	0	0	0	0	9	oracle-module-shell-9	46cdbdef
v8m5e6.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
aims.ucc-caloocan.edu.ph	-	-	0	0	0	0	0	unreachable	46cdbdef
sparkivo.pro	-	-	0	0	0	0	0	unreachable	46cdbdef
crm.majoo.id	0.754717	0.375000	0	0	0	0	40		46cdbdef
www.smecel.com.br	1.000000	0.465116	0	1	0	0	43		46cdbdef
lms12.tvu.ac.ir	-	-	0	0	0	0	0	unreachable	46cdbdef
serennu.com	1.000000	0.573770	0	28	0	0	61		46cdbdef
basescan.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.levelupxx69.online	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.unoeste.br	0.756466	0.752137	0	4	2	1	351		46cdbdef
lp.rsaiben.com	-	-	0	0	0	0	0	http-404	46cdbdef
dla7h4u1.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
www.villaggioposeidone.it	0.004367	0.000000	0	0	0	0	2	tree-divergence-601	46cdbdef
admin.munchbakery.com	1.000000	0.931818	0	0	0	0	44		46cdbdef
creaturecock.com	-	-	0	0	0	0	0	unreachable	46cdbdef
www.dapam-sirius.fr	1.000000	0.900000	0	0	0	0	30		46cdbdef
pivaldi.restoplace.ws	0.969231	0.690476	2	2	2	0	378		46cdbdef
ebanking.bdm-sa.com	-	-	0	0	0	0	0	unreachable	46cdbdef
beb88run.xyz	0.979721	0.713431	0	14	19	97	2174		46cdbdef
zainascarfs.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.cuneocronaca.it	0.989192	0.420916	67	59	62	0	1922		46cdbdef
ofero.id	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
probidas.lt	0.939944	0.298663	21	0	10	0	673		46cdbdef
redinfor.com.pe	0.900000	0.638889	3	0	1	0	36		46cdbdef
mydogcot.com	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
profissionaliza.cademi.com.br	1.000000	0.588235	0	0	0	0	34		46cdbdef
www.timeline.com	0.978741	0.411028	202	3	17	0	1197		46cdbdef
admin.zoomph.com	1.000000	0.588235	0	0	1	0	34		46cdbdef
e8c76.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
pordentrodetudo.com.br	0.923463	0.144022	5	0	3	0	736		46cdbdef
bhramarah.in	-	-	0	0	0	0	0	bot-wall-429	46cdbdef
