#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
comix.to	1.000000	0.333333	0	0	0	0	3	oracle-module-shell-3	46cdbdef
www.naukri.com	-	-	0	0	0	0	0	crashed	46cdbdef
www.ebay.com	-	-	0	0	0	0	0	timeout-150s	46cdbdef
fdown.net	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.ikea.com	0.964706	0.733232	0	5	22	0	656		46cdbdef
www.otomoto.pl	0.985836	0.750000	0	1	11	0	1044		46cdbdef
aternos.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bilibili.com	0.767105	0.720412	6	10	2	0	583		46cdbdef
meet.google.com	0.487434	0.133366	135	14	41	0	2017		46cdbdef
www.amazon.com.be	-	-	0	0	0	0	0	empty-202	46cdbdef
client.dkitrxmdwoqruvsi.net	-	-	0	0	0	0	0	http-404	46cdbdef
people.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
cibnext.icici.bank.in	-	-	0	0	0	0	0	http-404	46cdbdef
255md.com	1.000000	0.906977	0	0	0	0	43		46cdbdef
www.marktplaats.nl	1.000000	0.961728	2	0	0	0	810		46cdbdef
awlyaa.education.dz	1.000000	0.833333	0	0	0	0	6	shell-only-6	46cdbdef
www.repubblica.it	0.994050	0.450430	0	42	0	0	2673		46cdbdef
mobcup.fm	0.852941	1.000000	0	0	0	0	29		46cdbdef
momon-ga.com	1.000000	0.562937	0	0	0	0	572		46cdbdef
esaj.tjsp.jus.br	-	-	0	0	0	0	0	http-503	46cdbdef
www.mobile.bg	0.837587	0.368421	0	0	22	1	361		46cdbdef
tracker.shadowfax.in	-	-	0	0	0	0	0	probe-blocked	46cdbdef
www.kicktipp.com	0.989583	0.926316	0	0	0	0	95		46cdbdef
alastonsuomi.com	-	-	0	0	0	0	0	unreachable	46cdbdef
altogel.fit	-	-	0	0	0	0	0	unreachable	46cdbdef
www.tz.de	0.952286	0.836117	3	1	4	0	1916		46cdbdef
sports.yahoo.com	0.994138	0.882075	0	0	7	0	1696		46cdbdef
gw.geneanet.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.bolde.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
dashboard.twitch.tv	0.181818	0.500000	0	0	0	0	2	tree-divergence-58	46cdbdef
mkp.gem.gov.in	-	-	0	0	0	0	0	unreachable	46cdbdef
celeb.gate.cc	0.989691	0.760417	0	0	0	0	480		46cdbdef
www.fragrantica.com	1.000000	0.726604	0	27	0	0	2992		46cdbdef
www.blick.ch	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.hemnet.se	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
fr.bongacams.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.mobile.ir	0.999155	0.651733	15	8	0	1	1183		46cdbdef
www.alphanews.live	0.990005	0.686238	20	7	5	0	3764		46cdbdef
patrickmorin.com	0.985714	0.543478	0	0	5	0	138		46cdbdef
www.nautica.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.ordertime.com	1.000000	1.000000	0	0	0	0	29		46cdbdef
mexcbt.ed-cl.com	0.925926	0.000000	0	2	1	0	25		46cdbdef
ticket.jfa.jp	1.000000	0.690570	2	2	2	0	1018		46cdbdef
house.udn.com	1.000000	0.000000	0	0	0	0	1	shell-only-1	46cdbdef
pogoda.by	0.696078	0.845070	0	0	0	0	71		46cdbdef
d2rwkn96gppqo1.cloudfront.net	-	-	0	0	0	0	0	timeout-150s	46cdbdef
www.trivago.de	0.956799	0.115470	26	10	13	0	1351		46cdbdef
www.trivago.jp	0.956210	0.111862	26	14	13	0	1332		46cdbdef
www.monopolybingogame.com	0.535714	0.266667	0	0	0	0	15		46cdbdef
www.mundotoro.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.puentedemando.com	0.985205	0.821555	6	5	9	1	1132		46cdbdef
donate.onenation.org.au	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
forums.moneysavingexpert.com	1.000000	0.222222	0	0	0	0	9	oracle-module-shell-9	46cdbdef
v8m5e6.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
aims.ucc-caloocan.edu.ph	-	-	0	0	0	0	0	unreachable	46cdbdef
sparkivo.pro	-	-	0	0	0	0	0	unreachable	46cdbdef
crm.majoo.id	0.716981	0.368421	0	0	0	0	38		46cdbdef
www.smecel.com.br	1.000000	0.465116	0	1	0	0	43		46cdbdef
lms12.tvu.ac.ir	-	-	0	0	0	0	0	unreachable	46cdbdef
serennu.com	1.000000	0.393443	0	28	0	0	61		46cdbdef
basescan.org	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
app.levelupxx69.online	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.unoeste.br	0.750000	0.698276	0	3	3	1	348		46cdbdef
lp.rsaiben.com	-	-	0	0	0	0	0	http-404	46cdbdef
dla7h4u1.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
www.villaggioposeidone.it	0.004338	0.000000	0	0	0	0	2	tree-divergence-604	46cdbdef
admin.munchbakery.com	1.000000	0.931818	0	0	0	0	44		46cdbdef
creaturecock.com	-	-	0	0	0	0	0	unreachable	46cdbdef
www.dapam-sirius.fr	1.000000	0.933333	0	0	0	0	30		46cdbdef
pivaldi.restoplace.ws	0.969231	0.693122	9	2	1	0	378		46cdbdef
ebanking.bdm-sa.com	-	-	0	0	0	0	0	unreachable	46cdbdef
beb88run.xyz	0.983857	0.732452	0	14	16	89	2194		46cdbdef
zainascarfs.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
www.cuneocronaca.it	0.985589	0.346214	62	59	65	0	1915		46cdbdef
ofero.id	0.707763	0.358065	18	25	42	0	620		46cdbdef
probidas.lt	0.939643	0.294891	19	0	10	0	685		46cdbdef
redinfor.com.pe	-	-	0	0	0	0	0	unreachable	46cdbdef
mydogcot.com	0.897485	0.392241	3	6	6	0	464		46cdbdef
profissionaliza.cademi.com.br	1.000000	0.617647	0	0	0	0	34		46cdbdef
www.timeline.com	0.978741	0.410192	454	1	18	0	1197		46cdbdef
admin.zoomph.com	1.000000	0.588235	0	0	1	0	34		46cdbdef
e8c76.com	-	-	0	0	0	0	0	bot-wall-200	46cdbdef
pordentrodetudo.com.br	0.897856	0.182584	13	0	2	0	712		46cdbdef
bhramarah.in	0.959226	0.293228	8	33	37	0	1388		46cdbdef
dedebet252.com	-	-	0	0	0	0	0	bot-wall-403	46cdbdef
aksesjambi.com	0.995501	0.829379	0	2	1	2	885		46cdbdef
hipmiluwuutara.org	0.341064	0.132000	12	3	6	0	250		46cdbdef
seduniaselat.com	0.945098	0.618257	4	0	1	0	482		46cdbdef
