#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason	instrument
comix.to	1.000000	0.333333	0	0	0	0	3	oracle-module-shell-3	d3da5acb
www.naukri.com	0.280702	0.312500	0	1	1	0	16		d3da5acb
www.ebay.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
fdown.net	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.ikea.com	0.924149	0.783920	0	0	5	0	597		d3da5acb
www.otomoto.pl	0.967742	0.762857	0	1	12	0	1050		d3da5acb
aternos.org	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.bilibili.com	0.762846	0.759931	2	9	2	0	579		d3da5acb
meet.google.com	0.474298	0.128951	0	17	49	1	1993		d3da5acb
www.amazon.com.be	-	-	0	0	0	0	0	empty-202	d3da5acb
client.dkitrxmdwoqruvsi.net	-	-	0	0	0	0	0	http-404	d3da5acb
people.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
cibnext.icici.bank.in	-	-	0	0	0	0	0	http-404	d3da5acb
255md.com	1.000000	0.906977	0	0	0	0	43		d3da5acb
www.marktplaats.nl	1.000000	0.959259	0	0	0	0	810		d3da5acb
awlyaa.education.dz	1.000000	0.833333	0	0	0	0	6	shell-only-6	d3da5acb
www.repubblica.it	0.993806	0.726919	0	128	16	0	2567		d3da5acb
mobcup.fm	0.852941	0.793103	0	0	0	0	29		d3da5acb
momon-ga.com	1.000000	0.608392	0	0	0	0	572		d3da5acb
esaj.tjsp.jus.br	1.000000	0.500000	0	0	0	0	4	shell-only-4	d3da5acb
www.mobile.bg	0.830549	0.422414	0	0	24	0	348		d3da5acb
tracker.shadowfax.in	0.052632	0.000000	0	0	0	0	1	tree-divergence-48	d3da5acb
www.kicktipp.com	1.000000	0.927083	0	0	0	0	96		d3da5acb
alastonsuomi.com	-	-	0	0	0	0	0	unreachable	d3da5acb
altogel.fit	-	-	0	0	0	0	0	unreachable	d3da5acb
www.tz.de	0.950794	0.860916	3	1	1	0	1855		d3da5acb
sports.yahoo.com	0.272727	0.000000	0	0	0	0	3	tree-divergence-927	d3da5acb
gw.geneanet.org	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.bolde.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
dashboard.twitch.tv	0.181818	0.500000	0	0	0	0	2	tree-divergence-58	d3da5acb
mkp.gem.gov.in	-	-	0	0	0	0	0	unreachable	d3da5acb
celeb.gate.cc	0.989691	0.760417	0	0	0	0	480		d3da5acb
www.fragrantica.com	0.999327	0.688215	0	32	0	0	2970		d3da5acb
www.blick.ch	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.hemnet.se	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
fr.bongacams.com	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.mobile.ir	0.999153	0.702290	0	12	0	1	1179		d3da5acb
www.alphanews.live	0.989105	0.761605	0	6	2	0	3813		d3da5acb
patrickmorin.com	0.985714	0.557971	0	0	10	0	138		d3da5acb
www.nautica.com	-	-	0	0	0	0	0	css-starved-1	d3da5acb
app.ordertime.com	0.040000	1.000000	0	0	0	0	1	tree-divergence-29	d3da5acb
mexcbt.ed-cl.com	0.925926	0.000000	0	1	1	0	25		d3da5acb
ticket.jfa.jp	-	-	0	0	0	0	0	timeout-150s	d3da5acb
house.udn.com	1.000000	0.000000	0	0	0	0	1	shell-only-1	d3da5acb
pogoda.by	0.731959	0.873239	0	0	0	0	71		d3da5acb
d2rwkn96gppqo1.cloudfront.net	-	-	0	0	0	0	0	unreachable	d3da5acb
www.trivago.de	0.965149	0.113486	26	10	13	0	1357		d3da5acb
www.trivago.jp	0.964672	0.111360	26	14	13	0	1338		d3da5acb
www.monopolybingogame.com	1.000000	0.230769	0	0	0	0	13		d3da5acb
www.mundotoro.com	-	-	0	0	0	0	0	css-starved-1	d3da5acb
www.puentedemando.com	0.985243	0.808811	6	6	9	1	1135		d3da5acb
donate.onenation.org.au	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
forums.moneysavingexpert.com	1.000000	0.500000	0	0	0	0	10		d3da5acb
v8m5e6.com	-	-	0	0	0	0	0	bot-wall-200	d3da5acb
aims.ucc-caloocan.edu.ph	-	-	0	0	0	0	0	unreachable	d3da5acb
sparkivo.pro	-	-	0	0	0	0	0	unreachable	d3da5acb
crm.majoo.id	0.716981	0.605263	0	0	0	0	38		d3da5acb
www.smecel.com.br	1.000000	0.488372	0	0	0	0	43		d3da5acb
lms12.tvu.ac.ir	-	-	0	0	0	0	0	unreachable	d3da5acb
serennu.com	1.000000	0.491803	0	28	0	0	61		d3da5acb
basescan.org	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
app.levelupxx69.online	-	-	0	0	0	0	0	bot-wall-403	d3da5acb
www.unoeste.br	0.942373	0.748201	0	4	2	0	278		d3da5acb
