#name	coverage	shape	h_overflow	overlap	reading_order	dead_target	shape_n	reason
comix.to	0.666667	1.000000	0	0	0	0	2	shell-only-3
www.desitales2.com	1.000000	0.637124	0	0	10	0	598	
service.smt.docomo.ne.jp	-	-	0	0	0	0	0	unreachable
www.welt.de	0.950215	0.670763	0	81	0	0	3092	
www.naukri.com	0.000000	1.000000	0	0	0	0	0	shell-only-1
www.tamildhool.tech	-	-	0	0	0	0	0	bot-wall-403
www.mangago.me	-	-	0	0	0	0	0	bot-wall-403
www.aparat.com	-	-	0	0	0	0	0	probe-blocked
www.ebay.com	-	-	0	0	0	0	0	timeout-300s
supjav.com	-	-	0	0	0	0	0	bot-wall-403
www.agoda.com	1.000000	0.076923	0	0	0	0	13	render-failed
www.imdb.com	-	-	0	0	0	0	0	empty-202
fdown.net	-	-	0	0	0	0	0	bot-wall-403
keirin.jp	0.714489	0.399602	3	5	27	0	503	
bill.pitc.com.pk	-	-	0	0	0	0	0	unreachable
www.quora.com	-	-	0	0	0	0	0	bot-wall-403
www.ikea.com	1.000000	0.515759	0	5	19	0	698	
playhop.com	-	-	0	0	0	0	0	unreachable
bbs.ruliweb.com	-	-	0	0	0	0	0	timeout-300s
www.fawanews.sc	-	-	0	0	0	0	0	unreachable
www.ikea.com	1.000000	0.518625	0	5	19	0	698	
keirin.jp	0.712034	0.404427	3	5	27	0	497	
www.ikea.com	1.000000	0.515759	0	5	19	0	698	
keirin.jp	0.739195	0.397177	3	5	31	0	496	
www.ikea.com	1.000000	0.515759	0	5	19	0	698	
keirin.jp	0.752688	0.367347	3	5	32	0	490	
